Height	Latitude	Longitude	Railway_peg	Slope
136.89	44.74858	39.91934	2.5	6.0
137.23	44.74789	39.92011	2.6	6.0
137.62	44.74719	39.92081	2.7	4.6
138.00	44.74644	39.92157	2.8	2.3
138.41	44.74573	39.92225	2.9	-1.4
138.78	44.74505	39.92294	3.0	-1.4
139.09	44.74433	39.92364	3.1	0.8
139.40	44.74357	39.92440	3.2	2.4
139.71	44.74286	39.92509	3.3	2.4
140.02	44.74211	39.92584	3.4	3.9
140.33	44.74136	39.92656	3.5	3.9
140.64	44.74062	39.92730	3.6	3.9
140.95	44.73991	39.92802	3.7	3.9
141.26	44.73920	39.92877	3.8	3.6
141.57	44.73846	39.92952	3.9	3.6
141.88	44.73776	39.93024	4.0	2.6
142.31	44.73697	39.93102	4.1	2.6
142.60	44.73621	39.93184	4.2	3.8
142.89	44.73555	39.93250	4.3	3.8
143.19	44.73483	39.93323	4.4	3.2
143.50	44.73411	39.93392	4.5	3.2
143.81	44.73334	39.93467	4.6	3.2
144.10	44.73258	39.93541	4.7	3.2
144.42	44.73191	39.93604	4.8	3.2
144.70	44.73117	39.93678	4.9	3.2
144.99	44.73027	39.93768	5.0	3.2
145.30	44.72960	39.93839	5.1	2.3
145.59	44.72889	39.93906	5.2	2.3
145.89	44.72817	39.93976	5.3	2.3
146.20	44.72746	39.94042	5.4	3.4
146.70	44.72673	39.94112	5.5	3.4
147.25	44.72601	39.94189	5.6	3.4
147.77	44.72529	39.94258	5.7	3.4
148.28	44.72455	39.94334	5.8	2.8
148.79	44.72380	39.94411	5.9	2.8
149.33	44.72298	39.94497	6.0	2.8
149.58	44.72231	39.94564	6.1	2.8
149.83	44.72162	39.94638	6.2	2.8
150.08	44.72080	39.94720	6.3	2.8
150.46	44.72006	39.94793	6.4	5.6
150.87	44.71932	39.94866	6.5	5.6
151.28	44.71858	39.94936	6.6	5.6
151.66	44.71779	39.95017	6.7	4.4
152.10	44.71702	39.95099	6.8	4.4
152.46	44.71630	39.95167	6.9	5.3
152.88	44.71557	39.95240	7.0	5.3
153.26	44.71486	39.95313	7.1	1.5
153.67	44.71413	39.95386	7.2	1.5
154.06	44.71334	39.95464	7.3	4.1
154.38	44.71262	39.95533	7.4	4.1
154.64	44.71191	39.95600	7.5	4.1
154.94	44.71121	39.95672	7.6	4.1
155.24	44.71040	39.95757	7.7	4.1
155.39	44.70969	39.95828	7.8	4.1
155.51	44.70895	39.95897	7.9	4.1
155.66	44.70823	39.95972	8.0	4.1
155.78	44.70746	39.96042	8.1	4.1
156.06	44.70664	39.96124	8.2	4.1
156.37	44.70581	39.96210	8.3	2.4
156.63	44.70506	39.96284	8.4	2.4
156.90	44.70432	39.96360	8.5	3.1
157.18	44.70360	39.96429	8.6	3.1
157.59	44.70286	39.96502	8.7	1.0
157.97	44.70221	39.96568	8.8	1.0
158.32	44.70158	39.96632	8.9	1.0
158.72	44.70091	39.96701	9.0	2.5
