Height	Latitude	Longitude	Railway_peg	Slope
136.763	44.74856309244743	39.9193441854656	2500	5.5
137.141	44.748056322095366	39.91985131545757	2569	9.4
137.431	44.747816809491056	39.920090593509705	2600	6.7
137.733	44.74748686593865	39.92042046275629	2645	3.6
137.934	44.747098790333744	39.9208084061886	2700	2.7
138.079	44.74669640770772	39.92121110259357	2755	3.8
138.253	44.74635711799333	39.92155041112591	2800	5.0
138.494	44.74600557882847	39.921902175590105	2848	2.9
138.640	44.74563095144677	39.922276594507444	2900	3.5
138.806	44.74527214301619	39.92263556679433	2949	3.5
138.985	44.74490744613949	39.92300012235131	3000	3.6
139.158	44.74456611377619	39.92334195982976	3047	1.1
139.218	44.744166055183456	39.92374201504079	3100	1.3
139.488	44.74344226920902	39.92446541009387	3148	4.0
139.661	44.7430837499445	39.92482429925068	3200	3.5
139.861	44.7427026830250	39.925205009773556	3249	3.9
139.985	44.7423526835537	39.92555519888085	3300	2.7
140.122	44.74197420850733	39.925933289320696	3348	2.5
140.259	44.741604331100845	39.92630318781679	3400	2.8
140.388	44.74123648708174	39.92667026675892	3450	2.6
140.546	44.74088500848421	39.92702156341056	3500	3.3
140.682	44.74049855859669	39.92740775933202	3548	2.5
140.821	44.74012078434457	39.92778543383767	3600	2.7
140.954	44.73975800264986	39.928147742794984	3651	2.7
141.118	44.739375717659925	39.928530299997895	3700	3.3
141.233	44.73904471620616	39.928861341488904	3752	2.3
141.320	44.73866796467578	39.92923823338809	3800	1.8
141.478	44.73829206635899	39.929614107432755	3851	3.3
141.694	44.73792675433253	39.92997882546756	3900	4.2
141.990	44.737564034815165	39.93034084048471	3950	6.0
142.209	44.737185180769785	39.930719594412906	4000	4.2
142.327	44.73680986297211	39.931094554778575	4052	2.5
142.445	44.73643553570313	39.931468747405006	4100	2.4
142.538	44.73609944709983	39.93180432912954	4151	1.8
142.712	44.73572132865068	39.93218239393241	4200	3.3
142.852	44.73536993487068	39.9325330535047	4252	2.9
143.007	44.7349828960814	39.932919905577116	4300	3.0
143.176	44.73462994327168	39.93327252855552	4354	3.7
143.343	44.73425334695489	39.93364932190374	4400	3.1
143.518	44.73390558772913	39.93399646393716	4451	3.7
143.724	44.73354035459413	39.934361528835524	4500	4.0
143.901	44.73317128410731	39.93473021852701	4551	3.6
144.083	44.73278526205222	39.93511592432327	4600	3.4
144.292	44.732436768682405	39.93546397081941	4653	4.5
144.393	44.73205536022503	39.93584474842152	4700	1.9
144.518	44.73170861280163	39.936191100816416	4752	2.7
144.642	44.73131536948414	39.93658375946242	4800	2.3
144.681	44.730979999967545	39.9369179807809	4853	0.9
144.884	44.7305920524637	39.937305522347934	4900	3.8
145.002	44.73023155501538	39.93766514524075	4953	2.6
145.083	44.72982062231384	39.938076293059055	5000	1.4
145.256	44.72949838249541	39.938397296118715	5056	4.1
145.447	44.72908618371722	39.93881002156262	5100	3.4
145.570	44.72877210068132	39.93912381312711	5156	2.7
145.728	44.72838063877085	39.93951460709586	5200	3.0
145.816	44.728034949683405	39.93986083306501	5253	1.9
146.023	44.72765297920746	39.94024181490739	5300	3.8
146.254	44.72731279254214	39.940580864313425	5352	4.8
146.494	44.72689549258138	39.940998535147536	5400	4.2
146.723	44.72657203577513	39.94132120619828	5457	5.3
146.980	44.72619312872673	39.94169921039888	5500	5.0
147.295	44.725838106467684	39.94205390856951	5552	6.7
147.555	44.72544452347168	39.94244709900193	5600	4.8
147.847	44.72508413200114	39.94280633999361	5654	6.3
148.112	44.7246930305217	39.943196622952456	5700	4.9
148.308	44.72435871784579	39.943529498642825	5753	4.3
148.539	44.724011075818716	39.943876077288905	5800	4.9
148.801	44.72364444054275	39.94424190002391	5847	4.9
149.048	44.72325906202418	39.9446267723093	5900	4.8
149.412	44.722831043435264	39.94505290670382	5952	7.5
149.643	44.722505843737885	39.94537717893354	6000	5.2
149.777	44.72217258751662	39.94571017447976	6044	2.5
149.847	44.72177512245309	39.946106362970674	6100	1.3
149.983	44.721443333294125	39.94643764514864	6154	2.8
149.987	44.72111197327114	39.94676872651292	6200	0.2
150.114	44.72064565069111	39.94723384479838	6245	2.2
150.245	44.72029420813123	39.94758531841745	6300	2.9
